name,category,exciter,material,patch_level_db,loudness_db,peak_db,hard_note_peak_db,tail_db,centroid_hz,sustain_db,width_db,modulation_db,pitch_cents,note_vs_strongest_db
Cowbell,PERCUSSION,strike,metal,-2.71,-25.1195,-10.4355,-2.99504,-117.813,1151.18,-20.0429,-11.8346,2.00253,0.252773,0
Clave,PERCUSSION,strike,wood,-2.85,-27.2098,-5.03863,-3.00068,-239.975,468.432,-127.718,-11.9306,4.6655,0.306417,0
Floor Tom,PERCUSSION,strike,membrane,1.12,-22.5563,-8.54274,-2.99849,-239.752,204.468,-81.9212,-12.1092,8.2853,0.349617,0
Bartok Snap,PERCUSSION,pluck,wood,3.16,-29.7017,-12.9347,-3.10007,-239.983,702.296,-129.74,-16.51,1.53806,90.2216,-9.69365
Glass Clink,PERCUSSION,strike,glass,-1.82,-20.9989,-6.22566,-5.4076,-144.638,5456.24,-20.6864,-4.2301,0.414654,0.249129,-0.924658
Anvil,PERCUSSION,strike,metal,-8.32,-27.2111,-12.7208,-2.81412,-173.047,1098.7,-22.7494,-8.48582,2.83179,0.00272075,0
Triangle,PERCUSSION,strike,metal,-6.37,-23.8913,-8.75871,-3.00273,-93.1429,2215.46,-20.0912,-5.20252,1.08268,0.323936,0
Woodblock,PERCUSSION,strike,wood,0.06,-26.3471,-7.91051,-2.99508,-239.984,453.423,-133.422,-12.2411,4.36352,0.367951,0
Sub Drop,PERCUSSION,strike,membrane,-0.55,-20.996,-9.45045,-11.5783,-238.223,763.988,-59.8507,-24.6366,15.5233,0.347017,0
Bottle Tap,PERCUSSION,strike,glass,1.38,-21.0019,-7.94786,-5.62658,-179.348,1372.09,-22.3894,-5.67206,0.669494,0.116022,0
Frying Pan,PERCUSSION,strike,metal,-0.69,-24.8051,-10.244,-3.00267,-180.609,721.966,-23.6982,-10.09,2.69803,-0.422656,0
Flower Pot,PERCUSSION,strike,glass,3.03,-21.0038,-7.44711,-5.45386,-194.064,793.491,-28.019,-5.90742,1.03669,0.068041,0
Brush Skin,PERCUSSION,strike,membrane,8.27,-21.0046,-6.19385,-7.31524,-239.961,165.216,-132.516,-17.8325,5.1644,3.33697,0
Timbale,PERCUSSION,strike,membrane,0.84,-24.5996,-9.70826,-2.99865,-239.915,366.049,-89.1142,-12.5869,9.83439,0.553807,0
Gong Choke,PERCUSSION,strike,metal,2.06,-22.8641,-7.92922,-2.99887,-173.839,690.425,-23.2675,-7.04626,2.33974,-1.1809,0
Step Kit,PERCUSSION,strike,membrane,0.14,-26.346,-10.5833,-2.99665,-239.965,289.316,-126.992,-9.66976,6.04191,0.909061,0
Cardboard Box,PERCUSSION,strike,wood,8.79,-21.0005,-4.08404,-4.09763,-239.966,238.788,-133.633,-22.7552,2.1272,89.9374,-9.06329
Industrial Hit,PERCUSSION,strike,metal,-0.11,-20.998,-7.86769,-3.7549,-172.866,1083.47,-23.7574,-5.24372,2.42911,-2.70631,0
Watch Tick,PERCUSSION,strike,metal,-10.46,-29.5542,-12.9967,-3.00179,-217.284,1947.93,-39.8217,-8.42922,1.92192,0.0778157,0
Hand Clap,PERCUSSION,strike,membrane,0.42,-30.5799,-12.496,-3.00169,-239.974,371.138,-125.41,-5.93405,2.43383,23.2332,-9.42335
Agogo,PERCUSSION,strike,metal,-4.46,-25.9573,-9.58626,-3.00213,-114.506,1512.85,-20.6067,-11.279,1.52944,0.299925,0
Syndrum Pew,PERCUSSION,strike,membrane,3.58,-21.0016,-6.48516,-4.14203,-239.941,651.859,-128.832,-22.3773,7.48662,0.469185,0
Door Knock,PERCUSSION,strike,wood,5.53,-20.9991,-5.50104,-3.19306,-239.967,251.467,-132.022,-15.4221,5.31449,0.367724,0
Hollow Circuit,EXPERIMENTAL,air,membrane,-2.55,-20.9989,-12.775,-21.0614,-159.424,791.89,-0.160817,-20.1292,2.66211,16.4377,0
Broken Halo,EXPERIMENTAL,strike,glass,3.86,-21.0052,-7.00918,-6.75332,-69.9202,2491.95,-10.6427,-3.06815,1.91862,-2.48186,0
Entropy Garden,EXPERIMENTAL,pluck,glass,5.03,-21.0049,-7.80607,-5.62513,-103.554,2620.5,-16.3037,-14.1777,2.20683,-0.725686,0
Signal Swarm,EXPERIMENTAL,air,metal,0.19,-20.9998,-12.1175,-18.596,-49.9982,5228.9,0,-18.7742,2.53727,-0.1642,0
Quantum Foam,EXPERIMENTAL,air,glass,10.79,-21.0002,-7.06729,-5.85982,-58.0047,8361.23,-1.95632,-4.35839,1.83937,-15.4851,0
Glitch Garden,EXPERIMENTAL,pluck,metal,4.29,-21.0025,-5.8968,-5.85547,-72.6303,1925.48,-11.12,-4.89408,2.07451,6.07988,-3.91016
Alien Radio,EXPERIMENTAL,air,metal,-2.11,-20.9974,-12.8123,-18.7366,-43.5218,4288.74,0,-18.8534,2.42287,0.13779,0
Tectonic,EXPERIMENTAL,bow,membrane,8.34,-21.0006,-12.833,-20.6596,-109.481,328.641,-0.0491265,-23.1013,2.38213,0.0585621,0
Neural Lattice,EXPERIMENTAL,strike,glass,5.84,-20.9987,-5.58531,-4.53704,-39.7491,3156.63,-3.37224,-1.6313,0.283846,60.4705,-8.10204
Particle Accelerator,EXPERIMENTAL,air,glass,18,-21.8161,-7.35642,-7.07946,-90.5203,7430.09,-0.289007,-5.41318,1.99265,3.55466,0
Morse Resonance,EXPERIMENTAL,air,metal,0.16,-20.9989,-13.0249,-23.7225,-41.6596,3810.16,0,-29.3048,3.15142,0.237545,0
Black Hole,EXPERIMENTAL,bow,metal,10.04,-20.9952,-12.1282,-19.7129,-52.7439,482.303,-0.0614132,-15.5686,3.20708,-0.025879,0
Fractal Bells,EXPERIMENTAL,strike,glass,2.5,-21.0013,-7.17354,-5.59132,-50.1197,2289.31,-6.07856,-4.51984,0.56536,0.323994,0
Irrational Harp,EXPERIMENTAL,pluck,wood,1.51,-21.0018,-5.89104,-7.29071,-233.067,329.637,-56.7508,-17.3958,3.46929,0.291708,0
Tritone Engine,EXPERIMENTAL,bow,metal,-2.73,-21.0048,-11.6174,-16.4864,-61.6381,944.812,-0.146875,-13.2698,3.45993,-0.0474463,0
Bent Circuit,EXPERIMENTAL,pluck,metal,-1.14,-20.9862,-11.6766,-10.8702,-80.0618,2393.22,-13.7269,-6.10826,2.13224,-1.88467,-2.71115
Spectral Ghosts,EXPERIMENTAL,air,glass,17.26,-21.0037,-8.56185,-5.01964,-75.828,6687.16,-0.470665,-7.00203,1.75238,-1.76354,0
Metallic Speech,EXPERIMENTAL,air,metal,-2.9,-20.9959,-13.6188,-23.4667,-39.2337,3480.29,0,-22.5892,3.16674,0.544984,0
Rewired,EXPERIMENTAL,strike,wood,-2.15,-22.6906,-4.25647,-2.99628,-219.794,486.444,-44.0205,-7.72779,2.85336,0.604876,0
Magnetic Storm,EXPERIMENTAL,air,metal,13.87,-21.0001,-8.85627,-6.42895,-45.5744,3518.8,-0.963106,-8.37864,1.83272,-2.06492,0
Frozen Time,EXPERIMENTAL,bow,glass,7.01,-20.9991,-10.9813,-18.5528,-54.7305,489.496,-0.172277,-14.8588,5.89383,0.0156084,0
Microtonal Maze,EXPERIMENTAL,strike,glass,2.62,-21.0032,-8.41646,-5.09049,-49.5319,2001.95,-6.77203,-3.41201,0.469709,0.314144,0
Gravity Well,EXPERIMENTAL,pluck,membrane,0.96,-21,-6.18263,-5.32115,-218.018,279.026,-53.2276,-10.3414,5.08124,3.12415,0
Tension Snap,EXPERIMENTAL,strike,metal,-6.43,-21.8578,-6.71591,-2.99806,-61.0783,3354.26,-10.5223,-5.43,0.648741,1.83267,0
Anti-Matter,EXPERIMENTAL,air,glass,-0.3,-21.0033,-13.064,-22.2714,-49.9551,4384.17,0,-26.2291,2.5673,0.178938,0
Hive Mind,EXPERIMENTAL,air,membrane,-2.72,-21.0024,-13.5968,-19.9049,-154.075,1824.66,-0.0526016,-26.7831,2.3831,2.60643,0
Clockwork Orbit,EXPERIMENTAL,strike,metal,-5.23,-22.5664,-7.71039,-2.99819,-55.1541,3018.1,-7.95068,-4.22614,2.89534,-0.167733,0
Polyrhythm Engine,EXPERIMENTAL,bow,wood,-0.81,-20.9957,-12.2411,-19.5318,-171.185,584.136,-0.116054,-24.6431,5.22789,-0.230001,0
Data Rain,EXPERIMENTAL,pluck,glass,2.7,-20.9968,-5.13242,-5.53308,-100.499,5340.96,-17.8915,-7.46216,1.73644,0.31155,-0.97897
Event Horizon,EXPERIMENTAL,air,metal,2.13,-20.9993,-12.941,-22.4609,-38.8228,5898.81,0,-19.2587,2.68221,0.240952,0
