name,category,exciter,material,patch_level_db,loudness_db,peak_db,hard_note_peak_db,tail_db,centroid_hz,sustain_db,width_db,modulation_db,pitch_cents,note_vs_strongest_db
Slow Alloy,METAL,bow,metal,1.58,-20.9967,-12.0051,-19.3951,-58.9598,869.007,-0.218856,-18.483,4.3921,-0.0453282,0
Copper Rain,METAL,pluck,metal,4.88,-21.0004,-6.26315,-3.94759,-71.6611,1650.9,-11.5728,-6.35518,2.38447,1.36566,0
Iron Flower,METAL,strike,metal,1.36,-21.0034,-8.72359,-6.67908,-47.6123,3313.85,-6.23844,-6.35287,2.82361,-11.2447,0
Gamelan Engine,METAL,strike,metal,0.08,-21.0031,-7.46884,-5.75914,-58.69,1538.83,-7.44858,-5.30134,2.34214,0.928114,0
Spring Coil,METAL,pluck,metal,3.49,-20.9985,-8.31755,-5.6474,-56.9542,1486.18,-8.1134,-12.2661,4.24814,-2.65015,-2.65308
Rusted Pipes,METAL,strike,metal,2.37,-21.0012,-9.30599,-8.57873,-82.5351,556.907,-11.6232,-7.02757,2.16,-0.0528636,0
Chainmail,METAL,strike,metal,-6.75,-26.1267,-11.6384,-3.00332,-86.0437,2383.17,-14.2851,-4.9318,2.89503,-2.75178,0
Titanium,METAL,strike,metal,-4.03,-21.0044,-5.98629,-3.34774,-48.8479,2605.91,-6.04231,-4.46558,0.611251,1.48392,0
Quicksilver,METAL,bow,metal,3.6,-21.0021,-15.9109,-14.5586,-67.3352,1358.95,0,-17.3159,3.97444,-0.0253781,0
Railroad,METAL,strike,metal,-1.73,-21.0035,-8.84303,-3.13166,-40.4605,2052.37,-4.94409,-7.74999,0.677566,0.174689,0
Wire Choir,METAL,bow,metal,0.67,-21.0028,-10.8473,-13.176,-61.7413,906.681,0,-15.5027,4.37411,0.0101976,0
Tin Tines,METAL,pluck,metal,2.9,-21.0068,-9.59964,-8.20426,-96.4405,653.967,-15.8048,-9.29411,2.94095,0.662181,0
Thunder Sheet,METAL,strike,metal,5.06,-21.0013,-8.15126,-9.80789,-42.4974,1848.86,-4.03976,-2.93564,4.1632,-7.11012,-4.65841
Forge Glow,METAL,bow,metal,1.66,-21.0046,-11.6735,-18.787,-62.4857,770.872,-0.222451,-15.2368,4.03306,0.00166587,0
Foundry,METAL,strike,metal,0.86,-20.9957,-9.91159,-9.13024,-45.8773,960.58,-4.38224,-5.0606,1.65977,-0.0737109,0
Hollow Steel,METAL,pluck,metal,2.19,-21.0021,-7.8238,-10.6441,-100.543,558.312,-14.8825,-13.1065,3.42503,0.90446,0
Bell Plate,METAL,strike,metal,2.06,-21.0004,-8.66057,-10.1277,-37.2573,594.256,-2.75139,-5.86137,0.846035,0.0132472,0
Copper Coil,METAL,pluck,metal,3.68,-20.9958,-8.68193,-9.87674,-66.3747,636.294,-8.61115,-10.6716,2.82726,0.207157,0
Tuning Fork,METAL,strike,metal,2.56,-21.0011,-9.92943,-11.2565,-42.6122,880.727,-4.09922,-18.4286,0.462577,0.854302,0
Magnet Hum,METAL,air,metal,-0.5,-21.0021,-12.9082,-24.4807,-36.745,1366.09,0,-31.318,3.2374,0.233831,0
Tuned Rails,METAL,strike,metal,-0.7,-21.0023,-7.57084,-3.66099,-47.8381,1545.14,-5.60451,-4.48206,0.873645,0.7547,0
Chrome Keys,METAL,strike,metal,-2.89,-20.9956,-6.77033,-3.62322,-153.223,1829.2,-11.6984,-5.98787,1.08972,0.864424,0
Razor Wire,METAL,pluck,metal,0.03,-20.9997,-8.17059,-7.69624,-73.1666,3141.83,-14.3743,-10.3354,0.983148,0.498848,-10.1476
Underwater Bell,METAL,strike,metal,3.43,-20.9954,-9.25946,-12.9288,-47.6898,392.576,-5.81851,-5.64178,4.2311,0.123962,0
Steel Wool,METAL,air,metal,11.4,-21.003,-9.86155,-10.311,-48.8226,8061.17,0,-7.76704,1.72257,-0.886914,0
Oil Drum,METAL,strike,metal,2.53,-20.9984,-9.46982,-11.4868,-53.7653,384.522,-5.58088,-8.11479,2.32803,0.0726325,0
Brake Drum,METAL,strike,metal,-4.6,-22.8217,-8.69729,-2.99954,-71.4953,1540.38,-11.5368,-7.38855,1.49516,0.00868291,0
Pedal Steel,METAL,pluck,metal,7.28,-20.996,-8.99572,-4.54288,-62.2188,1689.92,-8.81847,-9.6142,4.41213,1.44304,0
Resonator Cone,METAL,pluck,metal,2.56,-20.9957,-7.63404,-6.48318,-79.859,1151.23,-12.771,-8.16671,2.30957,0.85738,0
Waterphone,METAL,bow,metal,2.59,-21.0047,-11.7059,-19.8266,-58.4636,1066.07,-0.133581,-14.9191,3.21079,-0.47234,0
Scrapyard,METAL,strike,metal,1.12,-20.9963,-7.81144,-3.26182,-57.6893,1352.56,-7.38828,-4.83078,4.68567,1.77843,0
Reverb Plate,METAL,strike,metal,-2.12,-21.0019,-5.95871,-3.7454,-34.1298,5066.08,-4.51159,-4.59802,1.42444,-34.1324,-2.80775
Magnetic Wood,WOOD,strike,wood,2.1,-21.2087,-7.27376,-3.00314,-214.435,501.246,-44.3382,-8.86265,11.3413,0.102302,0
Hollow Marimba,WOOD,strike,wood,0.96,-20.9954,-6.29602,-5.23703,-235.723,330.298,-55.4756,-13.3072,1.60765,0.109554,0
Timber Code,WOOD,pluck,wood,3.88,-20.9997,-4.92745,-6.82351,-239.966,250.215,-132.821,-27.0647,4.6546,0.357935,0
Rosewood Keys,WOOD,strike,wood,0.47,-21.0042,-6.96997,-10.2121,-230.985,246.479,-47.0326,-15.9714,1.54892,0.117907,0
Balafon,WOOD,strike,wood,0.07,-21.6494,-6.00446,-3.00355,-236.909,891.435,-63.8323,-9.69099,11.866,-0.0578806,0
Mbira Calabash,WOOD,pluck,wood,2.43,-21.0138,-6.62634,-6.87299,-239.929,887.113,-126.846,-25.9268,7.1539,-0.233049,0
Bamboo Chimes,WOOD,strike,wood,2.41,-23.5904,-7.76922,-3.00133,-225.72,623.876,-53.7352,-6.06879,6.7214,1.12689,-1.68248
