test,key,value
smoke/processor renders MIDI note,energy,0.00439831
soundcheck/exciter x material matrix,strike.glass.peak,0.276748
soundcheck/exciter x material matrix,strike.glass.rmsAttack,0.0761756
soundcheck/exciter x material matrix,strike.glass.rmsSustain,0.0118302
soundcheck/exciter x material matrix,strike.glass.centroidHz,1148.44
soundcheck/exciter x material matrix,strike.glass.t60,3.41577
soundcheck/exciter x material matrix,strike.glass.fundamentalCents,0.161352
soundcheck/exciter x material matrix,strike.glass.inharmonicity,0.321751
soundcheck/exciter x material matrix,strike.metal.peak,0.277538
soundcheck/exciter x material matrix,strike.metal.rmsAttack,0.0730076
soundcheck/exciter x material matrix,strike.metal.rmsSustain,0.0214301
soundcheck/exciter x material matrix,strike.metal.centroidHz,1005.22
soundcheck/exciter x material matrix,strike.metal.t60,3.75734
soundcheck/exciter x material matrix,strike.metal.fundamentalCents,0.165794
soundcheck/exciter x material matrix,strike.metal.inharmonicity,0.226787
soundcheck/exciter x material matrix,strike.wood.peak,0.364801
soundcheck/exciter x material matrix,strike.wood.rmsAttack,0.0747238
soundcheck/exciter x material matrix,strike.wood.rmsSustain,7.05457e-06
soundcheck/exciter x material matrix,strike.wood.centroidHz,572.454
soundcheck/exciter x material matrix,strike.wood.t60,0.914035
soundcheck/exciter x material matrix,strike.wood.fundamentalCents,0.509529
soundcheck/exciter x material matrix,strike.wood.inharmonicity,0.137618
soundcheck/exciter x material matrix,strike.membrane.peak,0.353715
soundcheck/exciter x material matrix,strike.membrane.rmsAttack,0.0754014
soundcheck/exciter x material matrix,strike.membrane.rmsSustain,3.1801e-06
soundcheck/exciter x material matrix,strike.membrane.centroidHz,417.413
soundcheck/exciter x material matrix,strike.membrane.t60,0.839052
soundcheck/exciter x material matrix,strike.membrane.fundamentalCents,4.45349
soundcheck/exciter x material matrix,strike.membrane.inharmonicity,0.386483
soundcheck/exciter x material matrix,pluck.glass.peak,0.295318
soundcheck/exciter x material matrix,pluck.glass.rmsAttack,0.0724004
soundcheck/exciter x material matrix,pluck.glass.rmsSustain,0.0107602
soundcheck/exciter x material matrix,pluck.glass.centroidHz,3551.16
soundcheck/exciter x material matrix,pluck.glass.t60,3.58469
soundcheck/exciter x material matrix,pluck.glass.fundamentalCents,0.474294
soundcheck/exciter x material matrix,pluck.glass.inharmonicity,0.0147511
soundcheck/exciter x material matrix,pluck.metal.peak,0.310657
soundcheck/exciter x material matrix,pluck.metal.rmsAttack,0.0722085
soundcheck/exciter x material matrix,pluck.metal.rmsSustain,0.020452
soundcheck/exciter x material matrix,pluck.metal.centroidHz,1853.05
soundcheck/exciter x material matrix,pluck.metal.t60,3.80037
soundcheck/exciter x material matrix,pluck.metal.fundamentalCents,0.665468
soundcheck/exciter x material matrix,pluck.metal.inharmonicity,0.0571049
soundcheck/exciter x material matrix,pluck.wood.peak,0.397984
soundcheck/exciter x material matrix,pluck.wood.rmsAttack,0.0777435
soundcheck/exciter x material matrix,pluck.wood.rmsSustain,6.84139e-06
soundcheck/exciter x material matrix,pluck.wood.centroidHz,736.265
soundcheck/exciter x material matrix,pluck.wood.t60,0.905342
soundcheck/exciter x material matrix,pluck.wood.fundamentalCents,1.28663
soundcheck/exciter x material matrix,pluck.wood.inharmonicity,0.0149771
soundcheck/exciter x material matrix,pluck.membrane.peak,0.54941
soundcheck/exciter x material matrix,pluck.membrane.rmsAttack,0.0777761
soundcheck/exciter x material matrix,pluck.membrane.rmsSustain,3.12263e-06
soundcheck/exciter x material matrix,pluck.membrane.centroidHz,628.031
soundcheck/exciter x material matrix,pluck.membrane.t60,0.83588
soundcheck/exciter x material matrix,pluck.membrane.fundamentalCents,11.5883
soundcheck/exciter x material matrix,pluck.membrane.inharmonicity,0.0806035
soundcheck/exciter x material matrix,bow.glass.peak,0.13928
soundcheck/exciter x material matrix,bow.glass.rmsAttack,0.0446914
soundcheck/exciter x material matrix,bow.glass.rmsSustain,0.0956423
soundcheck/exciter x material matrix,bow.glass.centroidHz,638.146
soundcheck/exciter x material matrix,bow.glass.t60,0.179493
soundcheck/exciter x material matrix,bow.glass.fundamentalCents,-0.0132461
soundcheck/exciter x material matrix,bow.glass.inharmonicity,2.46843e-06
soundcheck/exciter x material matrix,bow.metal.peak,0.139219
soundcheck/exciter x material matrix,bow.metal.rmsAttack,0.0526795
soundcheck/exciter x material matrix,bow.metal.rmsSustain,0.0904975
soundcheck/exciter x material matrix,bow.metal.centroidHz,918.708
soundcheck/exciter x material matrix,bow.metal.t60,0.181198
soundcheck/exciter x material matrix,bow.metal.fundamentalCents,0.00971096
soundcheck/exciter x material matrix,bow.metal.inharmonicity,2.07145e-06
soundcheck/exciter x material matrix,bow.wood.peak,0.136376
soundcheck/exciter x material matrix,bow.wood.rmsAttack,0.0406266
soundcheck/exciter x material matrix,bow.wood.rmsSustain,0.0926098
soundcheck/exciter x material matrix,bow.wood.centroidHz,610.473
soundcheck/exciter x material matrix,bow.wood.t60,0.118848
soundcheck/exciter x material matrix,bow.wood.fundamentalCents,0.00384799
soundcheck/exciter x material matrix,bow.wood.inharmonicity,5.72637e-06
soundcheck/exciter x material matrix,bow.membrane.peak,0.137482
soundcheck/exciter x material matrix,bow.membrane.rmsAttack,0.0339266
soundcheck/exciter x material matrix,bow.membrane.rmsSustain,0.0949838
soundcheck/exciter x material matrix,bow.membrane.centroidHz,453.566
soundcheck/exciter x material matrix,bow.membrane.t60,0.124117
soundcheck/exciter x material matrix,bow.membrane.fundamentalCents,0.393262
soundcheck/exciter x material matrix,bow.membrane.inharmonicity,2.1072e-06
soundcheck/exciter x material matrix,air.glass.peak,0.121643
soundcheck/exciter x material matrix,air.glass.rmsAttack,0.00750263
soundcheck/exciter x material matrix,air.glass.rmsSustain,0.0813944
soundcheck/exciter x material matrix,air.glass.centroidHz,4629.84
soundcheck/exciter x material matrix,air.glass.t60,2.08061
soundcheck/exciter x material matrix,air.glass.fundamentalCents,-0.176674
soundcheck/exciter x material matrix,air.glass.inharmonicity,0.902012
soundcheck/exciter x material matrix,air.metal.peak,0.107392
soundcheck/exciter x material matrix,air.metal.rmsAttack,0.0063393
soundcheck/exciter x material matrix,air.metal.rmsSustain,0.0714901
soundcheck/exciter x material matrix,air.metal.centroidHz,5665.62
soundcheck/exciter x material matrix,air.metal.t60,2.81327
soundcheck/exciter x material matrix,air.metal.fundamentalCents,-0.538218
soundcheck/exciter x material matrix,air.metal.inharmonicity,0.0638549
soundcheck/exciter x material matrix,air.wood.peak,0.118983
soundcheck/exciter x material matrix,air.wood.rmsAttack,0.0110768
soundcheck/exciter x material matrix,air.wood.rmsSustain,0.0755017
soundcheck/exciter x material matrix,air.wood.centroidHz,3662.49
soundcheck/exciter x material matrix,air.wood.t60,0.443224
soundcheck/exciter x material matrix,air.wood.fundamentalCents,0.0396313
soundcheck/exciter x material matrix,air.wood.inharmonicity,0.141866
soundcheck/exciter x material matrix,air.membrane.peak,0.121496
soundcheck/exciter x material matrix,air.membrane.rmsAttack,0.00861879
soundcheck/exciter x material matrix,air.membrane.rmsSustain,0.0797705
soundcheck/exciter x material matrix,air.membrane.centroidHz,2924.51
soundcheck/exciter x material matrix,air.membrane.t60,0.473783
soundcheck/exciter x material matrix,air.membrane.fundamentalCents,6.35712
soundcheck/exciter x material matrix,air.membrane.inharmonicity,0.37713
tuning/tension is not master pitch,worstFundamentalCents_T0.2_0.8,0.355318
tuning/tension is not master pitch,worstFundamentalCents_T0_or_1,1.90008
tuning/tension stretches the modal spacing,tension0.1.nodeA_ratio,1.11406
tuning/tension stretches the modal spacing,tension0.3.nodeA_ratio,1.14951
tuning/tension stretches the modal spacing,tension0.5.nodeA_ratio,1.18608
tuning/tension stretches the modal spacing,tension0.7.nodeA_ratio,1.22382
tuning/tension stretches the modal spacing,tension0.9.nodeA_ratio,1.26276
tuning/pitch tracks MIDI C1-C6,worstCents_C1_C6,0.762528
tuning/membrane pitch glide settles,membrane.early_cents,7.43943
tuning/membrane pitch glide settles,membrane.settled_cents,0.124036
tuning/chromatic intervals,worstCents_C3_C5_pluckWood,0.190464
tuning/node radius and quantise,radius1.00.ratio,2.37234
tuning/node radius and quantise,radius0.00.ratio,0.593001
tuning/node radius and quantise,radius0.75.ratio,1.67741
tuning/node radius and quantise,radius0.54q.ratio,1.2566
tuning/node radius and quantise,radius0.46q.ratio,1.11949
tuning/coupling compensation keeps pitch,glass.coupling0.20.uncompensatedCents,9.11844
tuning/coupling compensation keeps pitch,glass.coupling0.20.compensatedCents,0.0937033
tuning/coupling compensation keeps pitch,glass.coupling0.20.noteVsStrongest_dB,0
tuning/coupling compensation keeps pitch,glass.coupling0.35.uncompensatedCents,25.8902
tuning/coupling compensation keeps pitch,glass.coupling0.35.compensatedCents,0.10052
tuning/coupling compensation keeps pitch,glass.coupling0.35.noteVsStrongest_dB,0
tuning/coupling compensation keeps pitch,glass.coupling0.50.uncompensatedCents,50.2127
tuning/coupling compensation keeps pitch,glass.coupling0.50.compensatedCents,0.111964
tuning/coupling compensation keeps pitch,glass.coupling0.50.noteVsStrongest_dB,0
tuning/coupling compensation keeps pitch,glass.coupling0.65.uncompensatedCents,81.2951
tuning/coupling compensation keeps pitch,glass.coupling0.65.compensatedCents,0.133221
tuning/coupling compensation keeps pitch,glass.coupling0.65.noteVsStrongest_dB,0
tuning/coupling compensation keeps pitch,glass.coupling0.80.uncompensatedCents,118.242
tuning/coupling compensation keeps pitch,glass.coupling0.80.compensatedCents,-0.0577216
tuning/coupling compensation keeps pitch,glass.coupling0.80.noteVsStrongest_dB,0
tuning/coupling compensation keeps pitch,glass.coupling1.00.uncompensatedCents,174.781
tuning/coupling compensation keeps pitch,glass.coupling1.00.compensatedCents,0.204061
tuning/coupling compensation keeps pitch,glass.coupling1.00.noteVsStrongest_dB,0
tuning/coupling compensation keeps pitch,metal.coupling0.20.uncompensatedCents,-5.43929
tuning/coupling compensation keeps pitch,metal.coupling0.20.compensatedCents,0.275211
tuning/coupling compensation keeps pitch,metal.coupling0.20.noteVsStrongest_dB,0
tuning/coupling compensation keeps pitch,metal.coupling0.35.uncompensatedCents,-15.6805
tuning/coupling compensation keeps pitch,metal.coupling0.35.compensatedCents,0.106236
tuning/coupling compensation keeps pitch,metal.coupling0.35.noteVsStrongest_dB,0
tuning/coupling compensation keeps pitch,metal.coupling0.50.uncompensatedCents,-29.5347
tuning/coupling compensation keeps pitch,metal.coupling0.50.compensatedCents,-0.302729
tuning/coupling compensation keeps pitch,metal.coupling0.50.noteVsStrongest_dB,0
tuning/coupling compensation keeps pitch,metal.coupling0.65.uncompensatedCents,-45.8457
tuning/coupling compensation keeps pitch,metal.coupling0.65.compensatedCents,-1.18982
tuning/coupling compensation keeps pitch,metal.coupling0.65.noteVsStrongest_dB,0
tuning/coupling compensation keeps pitch,metal.coupling0.80.uncompensatedCents,-63.6241
tuning/coupling compensation keeps pitch,metal.coupling0.80.compensatedCents,-2.75231
tuning/coupling compensation keeps pitch,metal.coupling0.80.noteVsStrongest_dB,0
tuning/coupling compensation keeps pitch,metal.coupling1.00.uncompensatedCents,-88.2686
tuning/coupling compensation keeps pitch,metal.coupling1.00.compensatedCents,-6.28547
tuning/coupling compensation keeps pitch,metal.coupling1.00.noteVsStrongest_dB,-1.31199
tuning/coupling compensation keeps pitch,wood.coupling0.20.uncompensatedCents,9.85551
tuning/coupling compensation keeps pitch,wood.coupling0.20.compensatedCents,0.0284162
tuning/coupling compensation keeps pitch,wood.coupling0.20.noteVsStrongest_dB,0
tuning/coupling compensation keeps pitch,wood.coupling0.35.uncompensatedCents,28.291
tuning/coupling compensation keeps pitch,wood.coupling0.35.compensatedCents,0.0376037
tuning/coupling compensation keeps pitch,wood.coupling0.35.noteVsStrongest_dB,0
tuning/coupling compensation keeps pitch,wood.coupling0.50.uncompensatedCents,55.4185
tuning/coupling compensation keeps pitch,wood.coupling0.50.compensatedCents,0.0520195
tuning/coupling compensation keeps pitch,wood.coupling0.50.noteVsStrongest_dB,0
tuning/coupling compensation keeps pitch,wood.coupling0.65.uncompensatedCents,90.7689
tuning/coupling compensation keeps pitch,wood.coupling0.65.compensatedCents,0.0668461
tuning/coupling compensation keeps pitch,wood.coupling0.65.noteVsStrongest_dB,0
tuning/coupling compensation keeps pitch,wood.coupling0.80.uncompensatedCents,133.763
tuning/coupling compensation keeps pitch,wood.coupling0.80.compensatedCents,0.10724
tuning/coupling compensation keeps pitch,wood.coupling0.80.noteVsStrongest_dB,0
tuning/coupling compensation keeps pitch,wood.coupling1.00.uncompensatedCents,201.397
tuning/coupling compensation keeps pitch,wood.coupling1.00.compensatedCents,0.0244548
tuning/coupling compensation keeps pitch,wood.coupling1.00.noteVsStrongest_dB,-0.760592
tuning/coupling compensation keeps pitch,membrane.coupling0.20.uncompensatedCents,0.625481
tuning/coupling compensation keeps pitch,membrane.coupling0.20.compensatedCents,0.203404
tuning/coupling compensation keeps pitch,membrane.coupling0.20.noteVsStrongest_dB,0
tuning/coupling compensation keeps pitch,membrane.coupling0.35.uncompensatedCents,1.41591
tuning/coupling compensation keeps pitch,membrane.coupling0.35.compensatedCents,0.210595
tuning/coupling compensation keeps pitch,membrane.coupling0.35.noteVsStrongest_dB,0
tuning/coupling compensation keeps pitch,membrane.coupling0.50.uncompensatedCents,2.5737
tuning/coupling compensation keeps pitch,membrane.coupling0.50.compensatedCents,0.21519
tuning/coupling compensation keeps pitch,membrane.coupling0.50.noteVsStrongest_dB,0
tuning/coupling compensation keeps pitch,membrane.coupling0.65.uncompensatedCents,4.06142
tuning/coupling compensation keeps pitch,membrane.coupling0.65.compensatedCents,0.236427
tuning/coupling compensation keeps pitch,membrane.coupling0.65.noteVsStrongest_dB,0
tuning/coupling compensation keeps pitch,membrane.coupling0.80.uncompensatedCents,5.85132
tuning/coupling compensation keeps pitch,membrane.coupling0.80.compensatedCents,0.267716
tuning/coupling compensation keeps pitch,membrane.coupling0.80.noteVsStrongest_dB,0
tuning/coupling compensation keeps pitch,membrane.coupling1.00.uncompensatedCents,8.6612
tuning/coupling compensation keeps pitch,membrane.coupling1.00.compensatedCents,0.319214
tuning/coupling compensation keeps pitch,membrane.coupling1.00.noteVsStrongest_dB,0
tuning/coupling compensation keeps pitch,worstCents_upTo0.65,1.18982
tuning/coupling compensation keeps pitch,worstCents_0.8to1.0,6.28547
tuning/compensation converges near unison,cases,56
tuning/compensation converges near unison,worstCoreLoopWobbleCents,0.181097
tuning/compensation converges near unison,worstTailVsRelease_dB,-11.1902
tuning/compensation converges near unison,worstLateDecay_dB_per_0.8s,-5.01699
ui/field frame cost,fieldFrameMs_2x_width1080,4.51765
ui/field frame cost,fieldFrameMs_2x_width1440,4.38463
ui/dragging a node moves and retunes it,radiusChange,0.0322
ui/dragging a node moves and retunes it,angleChange,0.0434
ui/dragging a node moves and retunes it,landingErrorPx,0.0382672
ui/alt-drag records a looping gesture,gestureSeconds,0.397412
ui/selector tiles, random and freeze drive the parameters,couplingAfterRandom,0.4275
ui/audio cost with the editor closed and open,guiClosed.audioPercentOfCore,8.84928
ui/audio cost with the editor closed and open,guiOpen.audioPercentOfCore,8.94207
ui/audio cost with the editor closed and open,guiOpen.framesDrawn,178
ui/audio cost with the editor closed and open,guiOpen.frameMs,3.00505
ui/audio cost with the editor closed and open,guiOpen.messageThreadLoadPercent,17.75
ui/audio cost with the editor closed and open,guiOpen.fullWindowRepaintMs,9.438
voices/polyphony storms without stuck voices,strike.poly1.maxActiveVoices,2
voices/polyphony storms without stuck voices,strike.poly1.steals,47
voices/polyphony storms without stuck voices,strike.poly1.hardSteals,0
voices/polyphony storms without stuck voices,strike.poly1.activeAtEnd,0
voices/polyphony storms without stuck voices,strike.poly1.peak,0.370951
voices/polyphony storms without stuck voices,bow.poly1.maxActiveVoices,2
voices/polyphony storms without stuck voices,bow.poly1.steals,47
voices/polyphony storms without stuck voices,bow.poly1.hardSteals,0
voices/polyphony storms without stuck voices,bow.poly1.activeAtEnd,0
voices/polyphony storms without stuck voices,bow.poly1.peak,0.147886
voices/polyphony storms without stuck voices,strike.poly4.maxActiveVoices,5
voices/polyphony storms without stuck voices,strike.poly4.steals,44
voices/polyphony storms without stuck voices,strike.poly4.hardSteals,0
voices/polyphony storms without stuck voices,strike.poly4.activeAtEnd,0
voices/polyphony storms without stuck voices,strike.poly4.peak,0.685987
voices/polyphony storms without stuck voices,bow.poly4.maxActiveVoices,5
voices/polyphony storms without stuck voices,bow.poly4.steals,44
voices/polyphony storms without stuck voices,bow.poly4.hardSteals,0
voices/polyphony storms without stuck voices,bow.poly4.activeAtEnd,0
voices/polyphony storms without stuck voices,bow.poly4.peak,0.416483
voices/polyphony storms without stuck voices,strike.poly8.maxActiveVoices,9
voices/polyphony storms without stuck voices,strike.poly8.steals,40
voices/polyphony storms without stuck voices,strike.poly8.hardSteals,0
voices/polyphony storms without stuck voices,strike.poly8.activeAtEnd,0
voices/polyphony storms without stuck voices,strike.poly8.peak,0.865427
voices/polyphony storms without stuck voices,bow.poly8.maxActiveVoices,9
voices/polyphony storms without stuck voices,bow.poly8.steals,40
voices/polyphony storms without stuck voices,bow.poly8.hardSteals,0
voices/polyphony storms without stuck voices,bow.poly8.activeAtEnd,0
voices/polyphony storms without stuck voices,bow.poly8.peak,0.494258
voices/polyphony storms without stuck voices,strike.poly16.maxActiveVoices,17
voices/polyphony storms without stuck voices,strike.poly16.steals,32
voices/polyphony storms without stuck voices,strike.poly16.hardSteals,0
voices/polyphony storms without stuck voices,strike.poly16.activeAtEnd,0
voices/polyphony storms without stuck voices,strike.poly16.peak,0.93419
voices/polyphony storms without stuck voices,bow.poly16.maxActiveVoices,17
voices/polyphony storms without stuck voices,bow.poly16.steals,32
voices/polyphony storms without stuck voices,bow.poly16.hardSteals,0
voices/polyphony storms without stuck voices,bow.poly16.activeAtEnd,0
voices/polyphony storms without stuck voices,bow.poly16.peak,0.595068
voices/voice stealing is click free,steals,1
voices/voice stealing is click free,worstHfSpikeDb,4.6911
voices/stealing prefers the quietest released voice,stolenNote,-1
voices/sustain pedal holds releases,bowedRmsDb_pedalHeld,-20.8699
voices/sustain pedal holds releases,bowedRmsDb_afterPedalUp,-92.2433
voices/pitch bend is accurate,range2.centsBeforeBend,0.0526643
voices/pitch bend is accurate,range2.centsAfterFullBend,0.00549864
voices/pitch bend is accurate,range12.centsBeforeBend,0.0526643
voices/pitch bend is accurate,range12.centsAfterFullBend,0.001786
voices/release semantics per exciter,strike.levelDb_at1.2s.releaseDamping0,-31.1843
voices/release semantics per exciter,strike.levelDb_at1.2s.releaseDamping1,-240
voices/same note restrike reuses the voice,activeVoices,1
voices/mpe per-note pitch bend,bentNoteCents_vs_D3,0.00640428
voices/mpe per-note pitch bend,otherNoteCents_vs_G3,0.00970987
voices/legato glides one network,activeVoices,1
voices/legato glides one network,glideTargetCents,-0.00648545
voices/midi is sample accurate,offset0.firstSample,23
voices/midi is sample accurate,offset17.firstSample,23
voices/midi is sample accurate,offset101.firstSample,23
voices/midi is sample accurate,offset255.firstSample,23
