test,key,value
exciters/velocity and EXCITE act per exciter,air.velocity1.0.rmsDb,-23.7036
exciters/velocity and EXCITE act per exciter,air.excite.levelGainDb,4.54016
exciters/velocity and EXCITE act per exciter,air.excite.centroidRatio,0.972647
host/block sizes from 1 to 4096 render the same sound,maxDifferenceAcrossBlockSizes,0
host/sample-rate changes and re-prepare mid-session,rmsDb@44100,-25.3064
host/sample-rate changes and re-prepare mid-session,rmsDb@96000,-26.2282
host/sample-rate changes and re-prepare mid-session,rmsDb@48000,-25.0532
host/sample-rate changes and re-prepare mid-session,rmsDb@192000,-25.638
host/sample-rate changes and re-prepare mid-session,rmsDb@22050,-27.4355
host/sample-rate changes and re-prepare mid-session,rmsDb@88200,-26.3853
host/sample-rate changes and re-prepare mid-session,peak,0.180211
host/multiple instances are independent,instanceIsolationMaxDiff,0
docs/parameter table,parameters,65
materials/materials are measurably different,glass.t60_fundamental,5.1599
materials/materials are measurably different,glass.centroidHz,1148.44
materials/materials are measurably different,glass.inharmonicity,0.0597679
materials/materials are measurably different,metal.t60_fundamental,8.24164
materials/materials are measurably different,metal.centroidHz,1005.22
materials/materials are measurably different,metal.inharmonicity,0.110467
materials/materials are measurably different,wood.t60_fundamental,0.924911
materials/materials are measurably different,wood.centroidHz,572.454
materials/materials are measurably different,wood.inharmonicity,0.0338084
materials/materials are measurably different,membrane.t60_fundamental,0.855209
materials/materials are measurably different,membrane.centroidHz,417.413
materials/materials are measurably different,membrane.inharmonicity,0.0968267
materials/materials are measurably different,lsd.glass_vs_metal,26.8961
materials/materials are measurably different,lsd.glass_vs_wood,29.4475
materials/materials are measurably different,lsd.glass_vs_membrane,42.8966
materials/materials are measurably different,lsd.metal_vs_wood,32.298
materials/materials are measurably different,lsd.metal_vs_membrane,32.3318
materials/materials are measurably different,lsd.wood_vs_membrane,29.0717
materials/materials differ for every exciter,strike.minPairwiseLsdDb,26.4499
materials/materials differ for every exciter,pluck.minPairwiseLsdDb,23.9565
materials/materials differ for every exciter,bow.minPairwiseLsdDb,2.40213
materials/materials differ for every exciter,air.minPairwiseLsdDb,4.97915
materials/material change is continuous,worstHfSpikeAboveNeighboursDb,7.18967
materials/material change is continuous,glassModeAfterMorph_ratio,2.63468
materials/inspector modifiers,loss0.2.dropDb_0.2to2.5s,8.1078
materials/inspector modifiers,loss0.8.dropDb_0.2to2.5s,40.278
materials/inspector modifiers,brightness0.1.centroid,438.421
materials/inspector modifiers,brightness0.9.centroid,1109
materials/inspector modifiers,inharmonicity0.1.h4stretch,1.01557
materials/inspector modifiers,inharmonicity0.9.h4stretch,1.05457
materials/inspector modifiers,mass0.1.t60,6.29115
materials/inspector modifiers,mass0.9.t60,12.468
freeze/freeze holds energy without runaway,metal.static.levelDb@2s,-17.7626
freeze/freeze holds energy without runaway,metal.static.levelDb@10s,-17.5644
freeze/freeze holds energy without runaway,metal.static.levelDb@19s,-17.6577
freeze/freeze holds energy without runaway,glass.chaos1.motion1.levelDb@2s,-18.6341
freeze/freeze holds energy without runaway,glass.chaos1.motion1.levelDb@10s,-18.6668
freeze/freeze holds energy without runaway,glass.chaos1.motion1.levelDb@19s,-18.8408
freeze/freeze holds energy without runaway,wood.chaos0.5.levelDb@2s,-24.7599
freeze/freeze holds energy without runaway,wood.chaos0.5.levelDb@10s,-24.9227
freeze/freeze holds energy without runaway,wood.chaos0.5.levelDb@19s,-24.9998
freeze/freeze engage is smooth and new notes play normally,engage.worstHfSpikeDb,2.64048
freeze/freeze engage is smooth and new notes play normally,noteDuringFreeze.t60,4.96007
freeze/freeze engage is smooth and new notes play normally,frozenNote.levelChangeDb_1s_to_5.3s,0.00310442
chaos/zero chaos is repeatable, seeds are deterministic, extreme is bounded,chaos0.maxDiff_differentSeeds,0
chaos/zero chaos is repeatable, seeds are deterministic, extreme is bounded,chaos0.8.maxDiff_sameSeed,0
chaos/zero chaos is repeatable, seeds are deterministic, extreme is bounded,chaos0.8.maxDiff_otherSeed,0.122036
chaos/zero chaos is repeatable, seeds are deterministic, extreme is bounded,chaos1.peak,0.273705
motion/motion moves the network and follows tempo when synced,depth1.radiusA_range,0.199555
motion/motion moves the network and follows tempo when synced,depth0.radiusA_range,0
motion/synced drift is phase-locked to the host timeline,radiusRange,0.277783
motion/synced drift is phase-locked to the host timeline,maxDiff_sameBarPosition,0
motion/synced drift is phase-locked to the host timeline,maxDiff_halfBarLater,0.197601
gesture/gesture build, serialise and playback,serialiseRoundTripMaxError,0
gesture/gesture build, serialise and playback,syncedBeats,2
gesture/gesture build, serialise and playback,playback.radiusRange,0.392065
gesture/gesture build, serialise and playback,playback.periodSeconds,1.296
gesture/a drag around the core becomes a seamless orbit,maxAngleStepPerSample_rad,0.00536841
gesture/a drag around the core becomes a seamless orbit,turnsOverTwoCycles,2
gesture/synced gesture follows host tempo,bpm120.periodSeconds,2
gesture/synced gesture follows host tempo,bpm90.periodSeconds,2.66667
nonlinear/extreme energy saturates coupling and stays bounded,peak,1
nonlinear/extreme energy saturates coupling and stays bounded,nonFiniteEvents,0
network/cayley scattering is orthogonal,worstOrthogonalityError,9.3983e-08
network/impulse into core propagates to every node,uncoupled.energyInNodesAtoD,0
