time_s,core,A,B,C,D
0.730333,7.88014e-07,1.11337e-06,2.51977e-07,2.19585e-06,1.15591e-06
0.740333,2.47618e-06,5.51832e-07,4.74214e-06,9.58419e-08,2.21879e-06
0.750333,3.47773e-06,2.41498e-08,1.59605e-06,2.67783e-08,3.26408e-07
0.760333,3.3116e-07,1.12114e-08,4.59294e-07,7.58882e-07,8.50738e-07
0.770333,4.36278e-06,4.84285e-07,4.70071e-06,1.67224e-06,8.00224e-07
0.780333,2.21819e-07,9.38666e-07,1.4043e-06,1.43665e-06,5.18212e-07
0.790333,2.61565e-06,1.65876e-06,2.96984e-06,2.23947e-06,6.72792e-07
0.800333,9.32221e-07,8.17687e-07,3.39326e-06,2.74354e-07,1.85548e-06
0.810333,8.48082e-07,2.52071e-06,5.47158e-07,9.90555e-07,7.1918e-07
0.820333,3.12306e-06,1.21188e-07,1.7136e-07,9.89702e-09,1.48025e-07
0.830333,1.38143e-07,1.86436e-07,5.30496e-07,4.24824e-08,2.969e-07
0.840333,1.33362e-05,2.27968e-07,3.30445e-07,8.49579e-07,5.30395e-07
0.850333,1.2274e-06,2.79923e-07,2.64224e-06,7.57395e-07,2.59353e-06
0.860333,4.27351e-07,2.31956e-07,7.16313e-07,8.10039e-07,1.60664e-06
0.870333,5.11752e-06,6.85921e-07,1.12352e-06,9.66827e-07,2.38176e-07
0.880333,4.15583e-07,4.11557e-07,1.12462e-06,4.66274e-07,5.47955e-07
0.890333,7.17181e-08,5.36179e-09,2.62926e-06,2.02798e-07,5.03387e-07
0.900333,1.03144e-06,9.41445e-07,2.64946e-07,6.99727e-07,5.47018e-08
0.910333,6.41013e-07,3.36243e-07,1.31469e-08,7.70597e-07,4.71788e-07
0.920333,1.40103e-06,8.64418e-07,6.95172e-08,2.35515e-07,2.86297e-06
0.930333,1.01715e-06,1.18232e-07,1.39923e-07,5.36219e-08,3.69822e-07
0.940333,4.23125e-07,8.06285e-08,1.74111e-07,5.04225e-07,6.72942e-07
0.950333,2.78121e-07,1.93068e-07,3.7417e-07,4.91932e-08,6.40372e-07
0.960333,4.96786e-09,1.01515e-08,9.8455e-08,7.09104e-07,8.831e-08
0.970333,9.2684e-07,2.11382e-07,1.61895e-07,3.88037e-07,4.95385e-07
0.980333,1.31899e-06,3.33841e-07,4.84559e-08,4.67693e-07,2.37427e-08
0.990333,2.71874e-07,1.3637e-07,2.18949e-06,2.42062e-07,1.28968e-07
1.00033,1.72897e-08,2.19534e-07,2.03735e-07,1.18869e-07,1.43249e-08
1.01033,2.18263e-07,7.69858e-08,6.7443e-08,8.75076e-08,8.8637e-08
